                                          MasterPlex QT Report By Analyte
    Report Date: 12/9/2005                                                   Run Date: Virtual Plate
    Report Time: 1:06:54 PM                                                  Run Time: Virtual Plate
    Data File: Virtual Plate                                                 Hardware Serial No. : Virtual Plate
    Plate Name: 2005April13 Xenon cyto.mlx                                   Operator: Virtual Plate
    MasterPlex QT Version: 2.0.7.103                                         Analyst: 
                                                                                                      Background:
                                                Analyte Name: GMCSF                              136.333333333333
       Well                  Sample Name                      MFI             Concentration           Unit   Count
        F6             <unnamed> (17031)                     22.5                   <4.8828          pg/mL      72
        G6             <unnamed> (17032)                       39                   <4.8828          pg/mL      80
        H6             <unnamed> (17033)                       22                   <4.8828          pg/mL      91
        A7             <unnamed> (17034)                       23                   <4.8828          pg/mL     125
        B7             <unnamed> (17035)                       20                   <4.8828          pg/mL     108
        C7             <unnamed> (17036)                       20                   <4.8828          pg/mL      75
        D7             <unnamed> (17037)                       27                   <4.8828          pg/mL      87
        E7             <unnamed> (17038)                       27                   <4.8828          pg/mL      65
        F7             <unnamed> (17039)                       19                   <4.8828          pg/mL      67
        G7             <unnamed> (17040)                       23                   <4.8828          pg/mL      53
        H7             <unnamed> (17041)                     32.5                   <4.8828          pg/mL      66
        A8             <unnamed> (17042)                       22                   <4.8828          pg/mL      87
        B8             <unnamed> (17043)                       28                   <4.8828          pg/mL      61
        C8             <unnamed> (17044)                     21.5                   <4.8828          pg/mL      58
        D8             <unnamed> (17045)                       23                   <4.8828          pg/mL      65
        E8             <unnamed> (17046)                       87                   <4.8828          pg/mL      86
        F8             <unnamed> (17047)                       21                   <4.8828          pg/mL      67
        G8             <unnamed> (17048)                       22                   <4.8828          pg/mL      45
        H8             <unnamed> (17049)                       17                   <4.8828          pg/mL      64
        A9             <unnamed> (17050)                       22                   <4.8828          pg/mL      87
        B9             <unnamed> (17051)                       22                   <4.8828          pg/mL      50
        C9             <unnamed> (17052)                       25                   <4.8828          pg/mL      81
        D9             <unnamed> (17053)                       32                   <4.8828          pg/mL      71
        E9             <unnamed> (17054)                     24.5                   <4.8828          pg/mL      68
        F9             <unnamed> (17055)                     16.5                   <4.8828          pg/mL      74
        G9             <unnamed> (17056)                       18                   <4.8828          pg/mL     119
        H9             <unnamed> (17057)                     37.5                   <4.8828          pg/mL      56
        A10            <unnamed> (17058)                       22                   <4.8828          pg/mL      14
        B10            <unnamed> (17059)                       15                   <4.8828          pg/mL      19
        C10            <unnamed> (17060)                     44.5                   <4.8828          pg/mL      72
        D10            <unnamed> (17061)                     23.5                   <4.8828          pg/mL      18
        E10            <unnamed> (17062)                       23                   <4.8828          pg/mL      36
        F10            <unnamed> (17063)                       12                   <4.8828          pg/mL      11
        G10            <unnamed> (17064)                       25                   <4.8828          pg/mL       4
        H10            <unnamed> (17065)                        9                   <4.8828          pg/mL       4
        A11            <unnamed> (17066)                       14                   <4.8828          pg/mL      31
        B11            <unnamed> (17067)                      8.5                   <4.8828          pg/mL      36
        C11            <unnamed> (17068)                     13.5                   <4.8828          pg/mL      34
        D11            <unnamed> (17069)                     12.5                   <4.8828          pg/mL      50
        E11            <unnamed> (17070)                        8                   <4.8828          pg/mL      50
        F11            <unnamed> (17071)                       29                   <4.8828          pg/mL      14
        G11            <unnamed> (17072)                       10                   <4.8828          pg/mL      49
        H11            <unnamed> (17073)                        9                   <4.8828          pg/mL      55
        A12            <unnamed> (17074)                        9                   <4.8828          pg/mL      26
     Virtual Plate                                 Page - 2 of 41                         2005April13 Xenon cyto.mlx

    12/9/2005                                    Report By Analytes                                       1:06:54 PM
       Well                  Sample Name                      MFI             Concentration           Unit   Count
        B12            <unnamed> (17075)                       13                   <4.8828          pg/mL      49
        C12            <unnamed> (17076)                       21                   <4.8828          pg/mL      19
        D12            <unnamed> (17077)                       25                   <4.8828          pg/mL      59
        E12            <unnamed> (17078)                     18.5                   <4.8828          pg/mL      30
        F12            <unnamed> (17079)                        6                   <4.8828          pg/mL      51
        G12            <unnamed> (17080)                        7                   <4.8828          pg/mL      13
        H12            <unnamed> (17081)                        9                   <4.8828          pg/mL      55
        A13            <unnamed> (17082)                       17                   <4.8828          pg/mL      60
        B13            <unnamed> (17083)                        9                   <4.8828          pg/mL      36
        C13            <unnamed> (17084)                     23.5                   <4.8828          pg/mL      50
        D13            <unnamed> (17085)                       14                   <4.8828          pg/mL      57
        E13            <unnamed> (17086)                       13                   <4.8828          pg/mL      41
        F13            <unnamed> (17087)                       12                   <4.8828          pg/mL      35
        G13            <unnamed> (17088)                       16                   <4.8828          pg/mL      51
        H13            <unnamed> (17089)                       11                   <4.8828          pg/mL      63
        A14            <unnamed> (17090)                     10.5                   <4.8828          pg/mL      64
        B14            <unnamed> (17091)                        8                   <4.8828          pg/mL      43
        C14            <unnamed> (17092)                       11                   <4.8828          pg/mL      55
        D14            <unnamed> (17093)                     10.5                   <4.8828          pg/mL      50
        E14            <unnamed> (17094)                        8                   <4.8828          pg/mL      60
        F14            <unnamed> (17095)                     13.5                   <4.8828          pg/mL      56
        G14            <unnamed> (17096)                        9                   <4.8828          pg/mL      33
        H14            <unnamed> (17097)                     11.5                   <4.8828          pg/mL      54
        A15            <unnamed> (17098)                       13                   <4.8828          pg/mL      67
        B15            <unnamed> (17099)                     20.5                   <4.8828          pg/mL      76
        C15            <unnamed> (17100)                       10                   <4.8828          pg/mL      87
        D15            <unnamed> (17101)                        9                   <4.8828          pg/mL      55
        E15            <unnamed> (17102)                       10                   <4.8828          pg/mL      41
        F15            <unnamed> (17103)                        8                   <4.8828          pg/mL      31
        G15            <unnamed> (17104)                        5                   <4.8828          pg/mL      41
        H15            <unnamed> (17105)                     12.5                   <4.8828          pg/mL      46
        A16            <unnamed> (17106)                       14                   <4.8828          pg/mL      65
        B16            <unnamed> (17107)                       10                   <4.8828          pg/mL      65
        C16            <unnamed> (17108)                       11                   <4.8828          pg/mL      50
        D16            <unnamed> (17109)                       10                   <4.8828          pg/mL      99
        E16            <unnamed> (17110)                        8                   <4.8828          pg/mL      86
        F16            <unnamed> (17111)                      139                     10.36          pg/mL      75
        G16            <unnamed> (17112)                       15                   <4.8828          pg/mL      89
        H16            <unnamed> (17113)                       12                   <4.8828          pg/mL      70
        A17            <unnamed> (17114)                     14.5                   <4.8828          pg/mL     116
        B17            <unnamed> (17115)                       13                   <4.8828          pg/mL      83
        C17            <unnamed> (17116)                       18                   <4.8828          pg/mL      51
        D17            <unnamed> (17117)                       21                   <4.8828          pg/mL     117
        E17            <unnamed> (17118)                       17                   <4.8828          pg/mL      59
        F17            <unnamed> (17119)                       12                   <4.8828          pg/mL     105
        G17            <unnamed> (17120)                        9                   <4.8828          pg/mL     108
        H17            <unnamed> (17121)                       23                   <4.8828          pg/mL      81
     Virtual Plate                                 Page - 3 of 41                         2005April13 Xenon cyto.mlx

    12/9/2005                                    Report By Analytes                                       1:06:54 PM
                                               Analyte Name: GRO/KC                                   Background:
                                                                                                 53.8333333333333
       Well                  Sample Name                      MFI             Concentration           Unit   Count
        A1             <unnamed> (16989)                    13491                   4302.81          pg/mL      50
        B1             <unnamed> (16990)                  13167.5                   3646.38          pg/mL      72
        C1             <unnamed> (16991)                     7336                   1255.48          pg/mL      55
        D1             <unnamed> (16992)                     1613                    268.64          pg/mL      57
        E1             <unnamed> (16993)                      395                     61.30          pg/mL      57
        F1             <unnamed> (16994)                      133                     14.81          pg/mL      75
        G1             <unnamed> (16995)                       83                      5.61          pg/mL      63
        H1             <unnamed> (16996)                       43                   <4.8828          pg/mL      66
        A2             <unnamed> (16997)                    14785                >2000.0000          pg/mL      76
        B2             <unnamed> (16998)                  13597.5                   4641.67          pg/mL      76
        C2             <unnamed> (16999)                   7456.5                   1278.84          pg/mL      78
        D2             <unnamed> (17000)                     2086                    347.72          pg/mL      50
        E2             <unnamed> (17001)                      447                     70.36          pg/mL      77
        F2             <unnamed> (17002)                      172                     21.87          pg/mL      79
        G2             <unnamed> (17003)                       89                      6.73          pg/mL      69
        H2             <unnamed> (17004)                     62.5                      1.72          pg/mL      76
        A3             <unnamed> (17005)                    13751                   5391.78          pg/mL      51
        B3             <unnamed> (17006)                    14290                >2000.0000          pg/mL      57
        C3             <unnamed> (17007)                   7118.5                   1213.88          pg/mL      66
        D3             <unnamed> (17008)                     1992                    332.04          pg/mL      61
        E3             <unnamed> (17009)                    510.5                     81.39          pg/mL      50
        F3             <unnamed> (17010)                    156.5                     19.07          pg/mL      68
        G3             <unnamed> (17011)                       75                      4.11          pg/mL      70
        H3             <unnamed> (17012)                       56                      0.45          pg/mL      70
        A4             <unnamed> (17013)                      136                      0.00          pg/mL      67
        B4             <unnamed> (17014)                      124                      0.00          pg/mL      78
        C4             <unnamed> (17015)                       73                      0.00          pg/mL      51
        D4             <unnamed> (17016)                       66                      0.00          pg/mL      53
        E4             <unnamed> (17017)                     1441                    239.76          pg/mL      58
        F4             <unnamed> (17018)                     1991                    331.87          pg/mL      60
        G4             <unnamed> (17019)                     1149                    190.51          pg/mL      58
        H4             <unnamed> (17020)                     1808                    301.30          pg/mL      73
        A5             <unnamed> (17021)                     9899                   1830.29          pg/mL      57
        B5             <unnamed> (17022)                     9544                   1736.98          pg/mL      67
        C5             <unnamed> (17023)                     9655                   1765.47          pg/mL      66
        D5             <unnamed> (17024)                    10448                   1989.28          pg/mL      76
        E5             <unnamed> (17025)                    866.5                    712.69          pg/mL     220
        A6             <unnamed> (17026)                    398.5                    309.54          pg/mL      80
        B6             <unnamed> (17027)                      479                    379.62          pg/mL     143
        C6             <unnamed> (17028)                    402.5                    313.03          pg/mL      74
        D6             <unnamed> (17029)                      566                    454.94          pg/mL      58
        E6             <unnamed> (17030)                      280                    205.51          pg/mL      60
        F6             <unnamed> (17031)                      859                    706.30          pg/mL     220
        G6             <unnamed> (17032)                      602                    486.00          pg/mL      98
        H6             <unnamed> (17033)                      534                    427.28          pg/mL     251
     Virtual Plate                                 Page - 4 of 41                         2005April13 Xenon cyto.mlx

    12/9/2005                                    Report By Analytes                                       1:06:54 PM
       Well                  Sample Name                      MFI             Concentration           Unit   Count
        A7             <unnamed> (17034)                      449                    353.55          pg/mL     174
        B7             <unnamed> (17035)                    736.5                    601.58          pg/mL     140
        C7             <unnamed> (17036)                      387                    299.50          pg/mL     109
        D7             <unnamed> (17037)                      317                    238.12          pg/mL     101
        E7             <unnamed> (17038)                    353.5                    270.17          pg/mL      86
        F7             <unnamed> (17039)                      564                    453.21          pg/mL      59
        G7             <unnamed> (17040)                    461.5                    364.42          pg/mL      88
        H7             <unnamed> (17041)                      609                    492.04          pg/mL      61
        A8             <unnamed> (17042)                      488                    387.43          pg/mL     163
        B8             <unnamed> (17043)                      389                    301.24          pg/mL      60
        C8             <unnamed> (17044)                      588                    473.93          pg/mL      83
        D8             <unnamed> (17045)                      379                    292.50          pg/mL      74
        E8             <unnamed> (17046)                    506.5                    403.47          pg/mL      98
        F8             <unnamed> (17047)                     1082                    895.85          pg/mL      69
        G8             <unnamed> (17048)                      519                    414.30          pg/mL     229
        H8             <unnamed> (17049)                      308                    230.20          pg/mL     117
        A9             <unnamed> (17050)                    783.5                    641.81          pg/mL      82
        B9             <unnamed> (17051)                      306                    228.44          pg/mL      75
        C9             <unnamed> (17052)                      470                    371.80          pg/mL      59
        D9             <unnamed> (17053)                     1035                    856.00          pg/mL     214
        E9             <unnamed> (17054)                      453                    357.03          pg/mL     117
        F9             <unnamed> (17055)                      413                    322.19          pg/mL      91
        G9             <unnamed> (17056)                      542                    434.20          pg/mL     219
        H9             <unnamed> (17057)                      721                    588.29          pg/mL     112
        A10            <unnamed> (17058)                      388                    300.37          pg/mL      84
        B10            <unnamed> (17059)                      276                    201.97          pg/mL      71
        C10            <unnamed> (17060)                    639.5                    518.30          pg/mL      50
        D10            <unnamed> (17061)                    414.5                    323.50          pg/mL     194
        E10            <unnamed> (17062)                    315.5                    236.80          pg/mL     222
        F10            <unnamed> (17063)                      255                    183.39          pg/mL     151
        G10            <unnamed> (17064)                    419.5                    327.86          pg/mL      24
        H10            <unnamed> (17065)                      251                    179.84          pg/mL      80
        A11            <unnamed> (17066)                      298                    221.39          pg/mL     218
        B11            <unnamed> (17067)                      676                    549.68          pg/mL     250
        C11            <unnamed> (17068)                      189                    124.59          pg/mL     316
        D11            <unnamed> (17069)                      236                    166.53          pg/mL     167
        E11            <unnamed> (17070)                    243.5                    173.19          pg/mL     206
        F11            <unnamed> (17071)                      319                    239.88          pg/mL     103
        G11            <unnamed> (17072)                      206                    139.80          pg/mL     272
        H11            <unnamed> (17073)                      235                    165.64          pg/mL     204
        A12            <unnamed> (17074)                      294                    217.87          pg/mL     123
        B12            <unnamed> (17075)                      280                    205.51          pg/mL     254
        C12            <unnamed> (17076)                      375                    289.00          pg/mL     117
        D12            <unnamed> (17077)                      486                    385.69          pg/mL     101
        E12            <unnamed> (17078)                      222                    154.07          pg/mL     100
        F12            <unnamed> (17079)                    251.5                    180.28          pg/mL     292
        G12            <unnamed> (17080)                      254                    182.50          pg/mL     156
        H12            <unnamed> (17081)                      199                    133.54          pg/mL     173
     Virtual Plate                                 Page - 5 of 41                         2005April13 Xenon cyto.mlx

    12/9/2005                                    Report By Analytes                                       1:06:54 PM
       Well                  Sample Name                      MFI             Concentration           Unit   Count
        A13            <unnamed> (17082)                      476                    377.01          pg/mL     175
        B13            <unnamed> (17083)                      170                    107.53          pg/mL     229
        C13            <unnamed> (17084)                      466                    368.33          pg/mL      71
        D13            <unnamed> (17085)                    524.5                    419.06          pg/mL     264
        E13            <unnamed> (17086)                    229.5                    160.75          pg/mL     240
        F13            <unnamed> (17087)                      229                    160.30          pg/mL     261
        G13            <unnamed> (17088)                      636                    515.29          pg/mL     259
        H13            <unnamed> (17089)                      166                    103.93          pg/mL     160
        A14            <unnamed> (17090)                      374                    288.13          pg/mL     221
        B14            <unnamed> (17091)                      190                    125.49          pg/mL     199
        C14            <unnamed> (17092)                      400                    310.85          pg/mL     311
        D14            <unnamed> (17093)                      214                    146.94          pg/mL     154
        E14            <unnamed> (17094)                      174                    111.13          pg/mL     214
        F14            <unnamed> (17095)                      254                    182.50          pg/mL     333
        G14            <unnamed> (17096)                      191                    126.38          pg/mL     197
        H14            <unnamed> (17097)                      198                    132.65          pg/mL     191
        A15            <unnamed> (17098)                      439                    344.85          pg/mL     169
        B15            <unnamed> (17099)                      812                    666.17          pg/mL     235
        C15            <unnamed> (17100)                      286                    210.81          pg/mL     222
        D15            <unnamed> (17101)                      372                    286.38          pg/mL     261
        E15            <unnamed> (17102)                      671                    545.38          pg/mL     170
        F15            <unnamed> (17103)                      382                    295.12          pg/mL     168
        G15            <unnamed> (17104)                      361                    276.75          pg/mL     163
        H15            <unnamed> (17105)                      201                    135.33          pg/mL     165
        A16            <unnamed> (17106)                      262                    189.59          pg/mL     227
        B16            <unnamed> (17107)                      482                    382.22          pg/mL      81
        C16            <unnamed> (17108)                      325                    245.16          pg/mL     163
        D16            <unnamed> (17109)                      357                    273.24          pg/mL     222
        E16            <unnamed> (17110)                    448.5                    353.12          pg/mL     278
        F16            <unnamed> (17111)                       50                   <4.8828          pg/mL      67
        G16            <unnamed> (17112)                      463                    365.72          pg/mL     105
        H16            <unnamed> (17113)                    536.5                    429.44          pg/mL     140
        A17            <unnamed> (17114)                      433                    339.62          pg/mL     215
        B17            <unnamed> (17115)                      262                    189.59          pg/mL      89
        C17            <unnamed> (17116)                    249.5                    178.51          pg/mL     270
        D17            <unnamed> (17117)                    568.5                    457.10          pg/mL     322
        E17            <unnamed> (17118)                    275.5                    201.53          pg/mL     384
        F17            <unnamed> (17119)                      349                    266.23          pg/mL     303
        G17            <unnamed> (17120)                      204                    138.01          pg/mL     109
        H17            <unnamed> (17121)                      365                    280.25          pg/mL     307
                                                 Analyte Name: IFNy                                   Background:
                                                                                                 14.3333333333333
       Well                  Sample Name                      MFI             Concentration           Unit   Count
        A1             <unnamed> (16989)                    11389                  19837.40          pg/mL      73
        B1             <unnamed> (16990)                   6214.5                   4462.23          pg/mL      96
        C1             <unnamed> (16991)                   1872.5                   1224.96          pg/mL      60
     Virtual Plate                                 Page - 6 of 41                         2005April13 Xenon cyto.mlx

    12/9/2005                                    Report By Analytes                                       1:06:54 PM
       Well                  Sample Name                      MFI             Concentration           Unit   Count
        D1             <unnamed> (16992)                      352                    268.39          pg/mL      58
        E1             <unnamed> (16993)                       71                     57.05          pg/mL      72
        F1             <unnamed> (16994)                       27                     15.60          pg/mL      81
        G1             <unnamed> (16995)                       18                      5.34          pg/mL      68
        H1             <unnamed> (16996)                       14                   <4.8828          pg/mL      75
        A2             <unnamed> (16997)                  11528.5                  21556.00          pg/mL      64
        B2             <unnamed> (16998)                     6640                   4905.71          pg/mL      73
        C2             <unnamed> (16999)                   2004.5                   1306.21          pg/mL      74
        D2             <unnamed> (17000)                      450                    335.22          pg/mL      63
        E2             <unnamed> (17001)                       89                     72.44          pg/mL      75
        F2             <unnamed> (17002)                       32                     20.80          pg/mL      80
        G2             <unnamed> (17003)                       17                      4.05          pg/mL      76
        H2             <unnamed> (17004)                       14                   <4.8828          pg/mL      78
        A3             <unnamed> (17005)                  11292.5                  18815.31          pg/mL      52
        B3             <unnamed> (17006)                     7323                   5711.03          pg/mL      61
        C3             <unnamed> (17007)                     1860                   1217.28          pg/mL      76
        D3             <unnamed> (17008)                    463.5                    344.28          pg/mL      90
        E3             <unnamed> (17009)                     93.5                     76.21          pg/mL      74
        F3             <unnamed> (17010)                     31.5                     20.29          pg/mL      50
        G3             <unnamed> (17011)                       17                      4.05          pg/mL      61
        H3             <unnamed> (17012)                       15                      1.22          pg/mL      68
        A4             <unnamed> (17013)                       28                      0.00          pg/mL      59
        B4             <unnamed> (17014)                       23                      0.00          pg/mL      67
        C4             <unnamed> (17015)                       16                      0.00          pg/mL      63
        D4             <unnamed> (17016)                       16                      0.00          pg/mL      58
        E4             <unnamed> (17017)                      229                    180.99          pg/mL      50
        F4             <unnamed> (17018)                      263                    205.66          pg/mL      71
        G4             <unnamed> (17019)                      188                    150.57          pg/mL      73
        H4             <unnamed> (17020)                      246                    193.38          pg/mL      63
        A5             <unnamed> (17021)                   2646.5                   1707.18          pg/mL      70
        B5             <unnamed> (17022)                     2806                   1808.94          pg/mL      73
        C5             <unnamed> (17023)                     2826                   1821.77          pg/mL      64
        D5             <unnamed> (17024)                     2729                   1759.69          pg/mL      67
        E5             <unnamed> (17025)                    155.5                    629.01          pg/mL     244
        A6             <unnamed> (17026)                       36                    124.11          pg/mL     106
        B6             <unnamed> (17027)                      287                   1114.05          pg/mL     119
        C6             <unnamed> (17028)                      111                    453.02          pg/mL      62
        D6             <unnamed> (17029)                       12                   <4.8828          pg/mL      68
        E6             <unnamed> (17030)                      129                    525.27          pg/mL     265
        F6             <unnamed> (17031)                      508                   1869.73          pg/mL     371
        G6             <unnamed> (17032)                      149                    603.82          pg/mL      70
        H6             <unnamed> (17033)                      177                    711.31          pg/mL     265
        A7             <unnamed> (17034)                       71                    285.25          pg/mL     160
        B7             <unnamed> (17035)                      377                   1428.16          pg/mL     145
        C7             <unnamed> (17036)                     3169                  10223.85          pg/mL     140
        D7             <unnamed> (17037)                      963                   3326.38          pg/mL     137
        E7             <unnamed> (17038)                    974.5                   3362.28          pg/mL      86
        F7             <unnamed> (17039)                      361                   1373.08          pg/mL      61
     Virtual Plate                                 Page - 7 of 41                         2005April13 Xenon cyto.mlx

    12/9/2005                                    Report By Analytes                                       1:06:54 PM
       Well                  Sample Name                      MFI             Concentration           Unit   Count
        G7             <unnamed> (17040)                       20                     38.88          pg/mL      97
        H7             <unnamed> (17041)                       44                    162.90          pg/mL      60
        A8             <unnamed> (17042)                   1384.5                   4628.67          pg/mL     182
        B8             <unnamed> (17043)                      142                    576.52          pg/mL      61
        C8             <unnamed> (17044)                     1462                   4866.32          pg/mL      81
        D8             <unnamed> (17045)                      350                   1335.03          pg/mL      84
        E8             <unnamed> (17046)                   3560.5                  11535.30          pg/mL      98
        F8             <unnamed> (17047)                      134                    545.07          pg/mL      66
        G8             <unnamed> (17048)                      987                   3401.27          pg/mL     323
        H8             <unnamed> (17049)                      222                    879.27          pg/mL     146
        A9             <unnamed> (17050)                      205                    816.43          pg/mL      77
        B9             <unnamed> (17051)                      702                   2501.50          pg/mL      60
        C9             <unnamed> (17052)                     1872                   6123.25          pg/mL      59
        D9             <unnamed> (17053)                      532                   1949.11          pg/mL     253
        E9             <unnamed> (17054)                       17                     20.25          pg/mL     138
        F9             <unnamed> (17055)                      165                    665.57          pg/mL      88
        G9             <unnamed> (17056)                      364                   1383.43          pg/mL     239
        H9             <unnamed> (17057)                      425                   1591.78          pg/mL      99
        A10            <unnamed> (17058)                       36                    124.11          pg/mL     304
        B10            <unnamed> (17059)                    327.5                   1256.74          pg/mL     322
        C10            <unnamed> (17060)                    619.5                   2235.38          pg/mL      74
        D10            <unnamed> (17061)                       12                   <4.8828          pg/mL     359
        E10            <unnamed> (17062)                      153                    619.34          pg/mL     405
        F10            <unnamed> (17063)                      583                   2116.52          pg/mL     353
        G10            <unnamed> (17064)                      119                    485.33          pg/mL     340
        H10            <unnamed> (17065)                    191.5                    766.01          pg/mL     248
        A11            <unnamed> (17066)                      401                   1510.26          pg/mL     368
        B11            <unnamed> (17067)                      359                   1366.17          pg/mL     248
        C11            <unnamed> (17068)                     2454                   7928.33          pg/mL     317
        D11            <unnamed> (17069)                      609                   2201.26          pg/mL     215
        E11            <unnamed> (17070)                      926                   3210.66          pg/mL     353
        F11            <unnamed> (17071)                    269.5                   1051.60          pg/mL     370
        G11            <unnamed> (17072)                       17                     20.25          pg/mL     272
        H11            <unnamed> (17073)                     29.5                     91.14          pg/mL     250
        A12            <unnamed> (17074)                     1187                   4021.26          pg/mL     242
        B12            <unnamed> (17075)                    406.5                   1528.99          pg/mL     300
        C12            <unnamed> (17076)                   1746.5                   5738.04          pg/mL     244
        D12            <unnamed> (17077)                   1565.5                   5183.42          pg/mL     110
        E12            <unnamed> (17078)                     1184                   4012.00          pg/mL     377
        F12            <unnamed> (17079)                    148.5                    601.88          pg/mL     362
        G12            <unnamed> (17080)                     2107                   6847.52          pg/mL     329
        H12            <unnamed> (17081)                      152                    615.47          pg/mL     186
        A13            <unnamed> (17082)                     2279                   7381.22          pg/mL     188
        B13            <unnamed> (17083)                     1452                   4835.67          pg/mL     258
        C13            <unnamed> (17084)                     2953                   9518.40          pg/mL      67
        D13            <unnamed> (17085)                      251                    985.01          pg/mL     367
        E13            <unnamed> (17086)                       42                    153.35          pg/mL     257
